gene	exp_rep3.exon	exp_rep2.exon	control_rep2.exon	exp_rep1.exon	control_rep1.exon	control_rep3.exon
ENSG00000160075.12	8671	7624	6563	8005	7171	9328
ENSG00000215014.5	51	31	35	53	37	63
ENSG00000274481.1	0	0	0	0	0	0
ENSG00000228594.4	658	445	521	462	536	754
ENSG00000286989.1	8	8	6	9	9	6
ENSG00000272106.1	196	160	136	160	134	175
ENSG00000197530.13	1735	1398	1182	1374	1262	1625
ENSG00000189409.14	5	0	3	1	4	2
ENSG00000248333.9	2696	2558	2256	2530	2535	3231
ENSG00000272004.1	4	0	3	3	3	1
ENSG00000189339.12	7135	8047	6218	7367	6882	8639
ENSG00000293187.1	54	87	53	80	72	67
ENSG00000269737.3	18	45	20	21	31	30
ENSG00000215914.4	0	1	0	1	1	2
ENSG00000008128.23	145	212	126	147	150	212
ENSG00000268575.1	140	135	97	142	158	178
ENSG00000293188.1	159	212	128	202	194	230
ENSG00000290854.1	136	143	122	137	132	202
ENSG00000215790.9	0	0	0	0	0	0
ENSG00000227775.4	0	0	0	0	0	0
ENSG00000008130.15	4851	5021	4031	4419	4480	5561
ENSG00000078369.19	42896	41117	34513	40798	41086	48640
ENSG00000231050.3	13	9	7	12	8	16
ENSG00000169885.10	5	11	2	7	1	6
ENSG00000178821.13	248	168	161	167	178	234
ENSG00000142609.20	34	18	25	24	28	40
ENSG00000233542.2	0	0	0	0	0	0
ENSG00000187730.9	2	3	1	0	2	0
ENSG00000226969.1	2	1	2	1	1	2
ENSG00000067606.17	3293	3025	2782	3286	2981	3819
ENSG00000271806.1	4	3	6	0	0	1
ENSG00000182873.5	218	223	157	182	193	248
ENSG00000162585.17	3151	2231	2314	2242	2255	3055
ENSG00000234396.3	0	0	0	0	0	0
ENSG00000157933.11	5887	5230	4508	5119	5198	6421
ENSG00000287356.1	82	89	59	57	57	105
ENSG00000116151.14	312	364	282	419	371	411
ENSG00000272161.1	1	2	0	0	0	0
ENSG00000292993.1	151	156	132	118	151	206
ENSG00000269896.3	0	0	0	0	0	0
ENSG00000272420.1	9	4	7	2	4	4
ENSG00000157916.20	5778	5972	4615	5876	5285	6275
ENSG00000157911.11	1470	1175	1176	1292	1178	1495
ENSG00000149527.18	13	15	16	13	20	29
ENSG00000224387.1	0	0	0	0	0	0
